Counter,Date/time,Latitude,Longitude,Elevation
415,2022-04-18 23:16:09.974863,-44.69081172830065,-55.09497936371933,434.29441712648537
416,2022-04-18 23:16:25.162873,-45.16631304287275,-53.95406521318161,434.4658542558273
417,2022-04-18 23:16:39.999065,-45.61830376495873,-52.820408279513615,434.6270274795102
418,2022-04-18 23:16:54.839939,-46.05769716214199,-51.66733605910167,434.78186851040635
419,2022-04-18 23:17:09.671384,-46.483682630299235,-50.49593070730819,434.9300738346666
420,2022-04-18 23:17:24.507625,-46.89628037879018,-49.30508123987174,435.07163735113403
421,2022-04-18 23:17:39.645764,-47.30290612672362,-48.070439894889255,435.2090294450209
422,2022-04-18 23:17:54.481900,-47.686941196222485,-46.841350082559444,435.3366291655389
423,2022-04-18 23:18:09.306411,-48.05593321800796,-45.59461572181041,435.4570129856444
424,2022-04-18 23:18:24.114588,-48.40943885232969,-44.330825574405836,435.5700436514902
425,2022-04-18 23:18:39.300172,-48.75585767538417,-43.01612781178473,435.67832191797856
426,2022-04-18 23:18:54.473452,-49.08532259556187,-41.68390465490294,435.7786752059503
427,2022-04-18 23:19:09.664761,-49.398055153077074,-40.332022317462354,435.8711765637132
428,2022-04-18 23:19:24.459275,-49.685771639051964,-38.998575713578894,435.9534911604279
429,2022-04-18 23:19:39.272719,-49.95683056742791,-37.64734441562291,436.0281303630854
430,2022-04-18 23:19:54.439656,-50.21633553721516,-36.2479126000378,436.0963891297754
431,2022-04-18 23:20:09.269638,-50.452097536737185,-34.864722512164406,436.15506155321066
432,2022-04-18 23:20:24.066884,-50.66930122746654,-33.47074983085356,436.20557544255064
433,2022-04-18 23:20:39.217105,-50.87269170191263,-32.03019419484301,436.2489102818833
434,2022-04-18 23:20:54.391174,-51.05684193131017,-30.574832116288057,436.2837453546471
435,2022-04-18 23:21:09.220799,-51.21762411140636,-29.14146304232512,436.30944710820336
436,2022-04-18 23:21:24.071764,-51.35938927412578,-27.69617291680897,436.3268727662087
437,2022-04-18 23:21:38.902620,-51.48152250914207,-26.244165223911104,436.33593114756786
438,2022-04-18 23:21:53.706109,-51.583867025545665,-24.78743930690669,436.33662416519275
439,2022-04-18 23:22:08.876550,-51.668308598444774,-23.288188754832913,436.32865346927383
440,2022-04-18 23:22:23.766189,-51.73093465716036,-21.811686417535935,436.3122656933128
441,2022-04-18 23:22:38.551007,-51.7731657226118,-20.342060422093788,436.28758706807685
442,2022-04-18 23:22:53.362965,-51.79546975458333,-18.867516255864096,436.2544587717547
443,2022-04-18 23:23:08.538252,-51.79751725298759,-17.355965045923153,436.21179854365073
444,2022-04-18 23:23:23.718433,-51.77849552001539,-15.844455881731246,436.1603047360437
445,2022-04-18 23:23:38.516357,-51.73969810173578,-14.372960934957861,436.10163700098576
446,2022-04-18 23:23:53.351592,-51.68079286962458,-12.901059943729148,436.03445386823154
447,2022-04-18 23:24:08.151102,-51.602156599488154,-11.437277553210029,435.9591158705484
448,2022-04-18 23:24:22.991997,-51.50349093838956,-9.9753018583477,435.8752667902945
449,2022-04-18 23:24:37.841317,-51.38507042950114,-8.519706954223691,435.7831011584994
450,2022-04-18 23:24:53.011055,-51.24393532649452,-7.041397836912607,435.6804623038063
451,2022-04-18 23:25:07.860962,-51.08625516875931,-5.603969739673717,435.5717464606361
452,2022-04-18 23:25:23.034499,-50.905433057781,-4.146279523524787,435.45231101276255
453,2022-04-18 23:25:37.875174,-50.70957869465481,-2.7324903912702663,435.32741276624006
454,2022-04-18 23:25:52.716938,-50.495203028506324,-1.3313750507310793,435.1945961648386
455,2022-04-18 23:26:07.519735,-50.26325258147053,0.05244681714635259,435.0543389703556
456,2022-04-18 23:26:22.658824,-50.00763286054672,1.4527471736660291,434.90295377815596
457,2022-04-18 23:26:37.490639,-49.73950125248196,2.8091722916517363,434.7469611116936
458,2022-04-18 23:26:52.332008,-49.454003721713896,4.15051987175509,434.5833655831078
459,2022-04-18 23:27:07.500300,-49.14484198369585,5.504206234901727,434.40854518936715
460,2022-04-18 23:27:22.644848,-48.81902558153753,6.8378990596030045,434.2264383871727
461,2022-04-18 23:27:37.448897,-48.48438034541065,8.123839714208762,434.0412628380179
462,2022-04-18 23:27:52.592623,-48.12593606442953,9.420714307181582,433.84465350217397
463,2022-04-18 23:28:07.424379,-47.759476610046434,10.672327973601565,433.64519886288974
464,2022-04-18 23:28:22.270895,-47.37779369185613,11.906544152377775,433.4388639247243
465,2022-04-18 23:28:37.068550,-46.98298076770514,13.117920951220084,433.2267156316999
466,2022-04-18 23:28:52.240347,-46.56367638397462,14.340366971201833,433.0026344774719
467,2022-04-18 23:29:07.411204,-46.13012192123173,15.542881723170066,432.7720884751996
468,2022-04-18 23:29:22.593096,-45.68244699320181,16.72620679993046,432.53510619758475
469,2022-04-18 23:29:37.428171,-45.23200929918981,17.863285402161697,432.2976341639893
470,2022-04-18 23:29:52.558029,-44.75983198909209,19.00340015256062,432.0496392724608
471,2022-04-18 23:30:07.412062,-44.28407563228704,20.10367060383386,431.80064704025347
472,2022-04-18 23:30:22.540939,-43.787514663576204,21.205013859148966,431.54163631088556
473,2022-04-18 23:30:37.353528,-43.289980752385716,22.26466212891796,431.282950948932
474,2022-04-18 23:30:52.214301,-42.77990109935528,23.30942972187923,431.01856344171347
475,2022-04-18 23:31:07.032172,-42.260766379302694,24.333124149654385,430.7503036251676
476,2022-04-18 23:31:22.208512,-41.718551149673814,25.363157645850574,430.47097968460486
477,2022-04-18 23:31:37.038063,-41.17876179697754,26.351991354397253,430.1937701569123
478,2022-04-18 23:31:51.839131,-40.63054180180468,27.321794271564638,429.9131133306572
479,2022-04-18 23:32:07.009346,-40.059189193809225,28.29833509614886,429.62156876096424
480,2022-04-18 23:32:22.177881,-39.47863271735797,29.257515864461972,429.3263438127182
481,2022-04-18 23:32:37.001954,-38.90264333032582,30.17857208908617,429.03447895064943
482,2022-04-18 23:32:51.841552,-38.3178284657298,31.0847656600031,428.739232051689
483,2022-04-18 23:33:06.696433,-37.724463250114496,31.97640317662897,428.44083041044456
484,2022-04-18 23:33:21.580979,-37.122193402920146,32.85469505132808,428.1391937551529
485,2022-04-18 23:33:36.412061,-36.514708744262045,33.7151018976048,427.83626620368943
486,2022-04-18 23:33:51.222017,-35.90099775416421,34.560001390506585,427.531638513552
487,2022-04-18 23:34:06.052142,-35.27961252349558,35.392123837412754,427.22470303271587
488,2022-04-18 23:34:21.224789,-34.637045228077994,36.22944984041559,426.90896459126435
489,2022-04-18 23:34:36.068902,-34.00195695715147,37.03530907628124,426.5986340039392
490,2022-04-18 23:34:51.327941,-33.34274900932556,37.85032652721318,426.27842181552836
491,2022-04-18 23:35:06.117432,-32.69786418578499,38.62775506557267,425.9671270968026
492,2022-04-18 23:35:21.249558,-32.032211855574154,39.41081676291397,425.6479297260993
493,2022-04-18 23:35:36.048858,-31.37573158673688,40.16489955366618,425.33533167539593
494,2022-04-18 23:35:51.230512,-30.696854041991287,40.92680580699467,425.01446389590507
495,2022-04-18 23:36:06.017857,-30.030550799033808,41.65789919636878,424.7020034027942
496,2022-04-18 23:36:20.871794,-29.356387804020695,42.38172171341245,424.38843956909886
497,2022-04-18 23:36:36.043076,-28.663007051489352,43.11042511807979,424.0687507836241
498,2022-04-18 23:36:50.859675,-27.981315130989653,43.81213006966911,423.7573359187533
499,2022-04-18 23:37:05.693181,-27.29454453872548,44.505117089968415,423.4465972208621
500,2022-04-18 23:37:20.517809,-26.604078209452364,45.188483916685726,423.1373226786078
501,2022-04-18 23:37:35.309565,-25.911183550628643,45.861520218700285,422.8302272452945
502,2022-04-18 23:37:50.121844,-25.2135317811106,46.526978000036834,422.5244362116698
503,2022-04-18 23:38:04.967074,-24.51069355669968,47.18566497284213,422.2199422754721
